User;Comment;Time;Likes
@siddhantak4090;The fact that Mercedes is still giving hearts after 7 years is amazing.;2 years ago;15K
@iwasaneagle3291;This commercial will never die.;8 months ago;1.9K
@turbo11;One of the best ads I've seen in a while. Absolutely leaves a lasting impression and quickly captures attention too. 10/10 ad;10 months ago;2.8K
@Error-wj3fk;Even though it had been a decade. It still feels like I had seen this ad yesterday. So nostalgic. A true masterpiece! ;4 months ago;348
@okayokay9569;Let’s be honest, if we got this as a ad, we would never skip it;9 months ago;562
@naviixd069;The fact that Mercedes was able to create a masterpiece like this even when  9 years ago shows how much great they are  Absolutely brilliant  Good job team;6 months ago (edited);146
@Ishikawa745;I like how this was made 7 years ago yet the humor is still fresh as now;2 years ago;2.1K
@DelphiCampbellArtist;I revisit this video every time I’m sad and it never fails to cheer me up. Iconic. I love chickens.;9 months ago;537
@karenevadelrosario2751;That explains a lot about their Product and they've used these adorable Chickens as an example of their car's stability control. I can't believe its been almost a decade since they have made this commercial and it still make us laugh and amazed on their strategic concept. As of now, this is the most brilliant commercial around the world that people always searching for it. Plus, Diana Ross' Song Upside down was a big hit during 1980 and used accurately to this commercial.;7 months ago (edited);58
@MBA.;Even though it's been almost 10 years, this ad has always been the best;2 months ago;16
@mauricio.csouza;9 years have passed, and it is still the best car commercial ever! great job, Mercedes! 🇩🇪;1 month ago (edited);7
@otaku_village;9 years later, still an iconic advert;2 weeks ago;3
@mpleandre;As a future marketing student, I'm gonna take notes on this...;2 years ago;10K
@Aamir-2999;Even after 9 years, still an amazing commercial!;4 months ago;20
@broma3974;I can't believe this still cracked me up so many years later. This really was a great commercial.;5 months ago;11
@marcothirteen1374;I first saw this ad 5 years ago and I loved it, now 5 years later I still love it;3 months ago;6
@michaelp4122;This commercial never gets old. Probably thr best commercial ever.;8 months ago;17
@McGherkinDude;it's really awesome that this commercial is nearly 10 years old, I love chickens so much and this was pure perfection right there. Well done Mercedes;4 weeks ago;1
@monrova4632;I remember seeing this as a kid and it's still funny to this day!  This commercial deserves an award. Thanks for the memories Mercedes-Benz! ;1 year ago;1.5K
@catselegantcarnival;I still come back just to watch this video. XD I love it so much. I don't think I've seen a better ad than this one. It legit sticks with me forever.;9 months ago;38
@maskedweeb6340;9 years and this ad still comes to my mind every now and then..truly a chicken masterpiece!;9 months ago (edited);3
